system:index,name,.geo
00000000000000000000,aez_1to5_1,"{""type"":""Polygon"",""coordinates"":[[[75.01503445313733,30.276862997453616],[74.38881372595256,29.46710563199226],[75.34462431452945,28.920433847516918],[75.94887234928997,29.829927023085602],[75.01503445313733,30.276862997453616]]]}"
00000000000000000001,aez_1to5_2,"{""type"":""Polygon"",""coordinates"":[[[77.18803513741177,28.09975469863005],[76.71562297679463,27.380211351757755],[77.64946086628353,26.87176309103495],[78.23173624462179,27.7600225823944],[77.30888468673722,28.24502650246094],[77.18803513741177,28.09975469863005]]]}"
00000000000000000002,aez_1to5_3,"{""type"":""Polygon"",""coordinates"":[[[73.266977521405,27.136053647018375],[72.79456539254402,26.390546310853267],[73.73938954554248,25.976470813459162],[74.26673337880416,26.744291061029447],[73.266977521405,27.136053647018375]]]}"
00000000000000000003,aez_1to5_4,"{""type"":""Polygon"",""coordinates"":[[[74.61793620502142,24.800089911468056],[74.28834637913388,23.94950040974312],[75.21119798935396,23.768646017729928],[75.48585621222011,24.65040286384886],[74.61793620502142,24.800089911468056]]]}"
00000000000000000004,aez_1to5_5,"{""type"":""Polygon"",""coordinates"":[[[80.05438156537672,26.490829951557462],[79.65887371982527,25.790592634713107],[80.61468429969115,25.612403478091444],[80.87835614490653,26.343243078727827],[80.05438156537672,26.490829951557462]]]}"
00000000000000000005,aez_1to5_6,"{""type"":""Polygon"",""coordinates"":[[[71.4262999731009,22.83686710294717],[72.44802849311186,22.563214303070566],[72.78860459453671,23.271548458641053],[71.7998351154424,23.563908733070335],[71.4262999731009,22.83686710294717]]]}"
00000000000000000006,aez_1to5_7,"{""type"":""Polygon"",""coordinates"":[[[74.97855327989575,22.522623818950905],[74.64896337699876,21.524544727254828],[75.45096535873095,21.319998360850278],[75.81351417729111,22.289014432989827],[75.17630717461523,22.482024342850213],[74.97855327989575,22.522623818950905]]]}"
00000000000000000007,aez_1to5_8,"{""type"":""Polygon"",""coordinates"":[[[77.07694194007641,19.43543073847347],[77.75809425546997,19.186593974052588],[78.03275246468739,19.94228583212205],[77.30765483718767,20.210573098864412],[77.07694194007641,19.43543073847347]]]}"
00000000000000000008,aez_1to5_9,"{""type"":""Polygon"",""coordinates"":[[[74.72421379022921,18.67269829388168],[75.48227042760483,18.44356730248611],[75.69101065175464,19.285650184994402],[75.03183098610421,19.430763121990072],[74.72421379022921,18.67269829388168]]]}"
00000000000000000009,aez_1to5_10,"{""type"":""Polygon"",""coordinates"":[[[75.50424310524615,15.800652346264531],[76.26229973414097,15.737215223351647],[76.38314938016403,16.991596157173674],[75.69101065175464,17.08613301503198],[75.50424310524615,15.800652346264531]]]}"
